Ref_Date,GEO,SEX,CAUSES,UNIT,Value
2000,Canada,Both sexes,Unintentional injuries,Number of potential years of life lost,188758
2001,Canada,Both sexes,Unintentional injuries,Number of potential years of life lost,185999
2002,Canada,Both sexes,Automobile accident,Number of potential years of life lost,190499
2003,Canada,Both sexes,Unintentional injuries,Number of potential years of life lost,182390
2004,Canada,Both sexes,Unintentional injuries,Number of potential years of life lost,176354
2005,Canada,Both sexes,Automobile accident,Number of potential years of life lost,188625
2006,Canada,Both sexes,Unintentional injuries,Number of potential years of life lost,185714
2007,Canada,Both sexes,Unintentional injuries,Number of potential years of life lost,189505
2008,Canada,Both sexes,Automobile accident,Number of potential years of life lost,183947
2009,Canada,Both sexes,Stroke,Number of potential years of life lost,172126
2000,Canada,Both sexes,Drowning,Number of potential years of life lost,116927.0
2001,Canada,Both sexes,Drowning,Number of potential years of life lost,116713.0
2002,Canada,Both sexes,Drowning,Number of potential years of life lost,113743.0
2003,Canada,Both sexes,Drowning,Number of potential years of life lost,116088.0
2004,Canada,Both sexes,Drowning,Number of potential years of life lost,111718.0
2005,Canada,Both sexes,Drowning,Number of potential years of life lost,114705.0
2006,Canada,Both sexes,Drowning,Number of potential years of life lost,102473.0
2007,Canada,Both sexes,Drowning,Number of potential years of life lost,108308.0
2008,Canada,Both sexes,Drowning,Number of potential years of life lost,109280.0
2009,Canada,Both sexes,Drowning,Number of potential years of life lost,114592.0
2000,Canada,Males,Unintentional injuries,Number of potential years of life lost,139757.0
2001,Canada,Males,Automobile accident,Number of potential years of life lost,139942.0
2002,Canada,Males,Unintentional injuries,Number of potential years of life lost,139013.0
2003,Canada,Males,Unintentional injuries,Number of potential years of life lost,135137.0
2004,Canada,Males,Automobile accident,Number of potential years of life lost,131894.0
2005,Canada,Males,Unintentional injuries,Number of potential years of life lost,139080.0
2006,Canada,Males,Unintentional injuries,Number of potential years of life lost,135934.0
2007,Canada,Males,Automobile accident,Number of potential years of life lost,139672.0
2008,Canada,Males,Unintentional injuries,Number of potential years of life lost,134843.0
2009,Canada,Males,Stroke,Number of potential years of life lost,126633.0
2000,Canada,Males,Drowning,Number of potential years of life lost,90962.0
2001,Canada,Males,Drowning,Number of potential years of life lost,91410.0
2002,Canada,Males,Drowning,Number of potential years of life lost,88118.0
2003,Canada,Males,Drowning,Number of potential years of life lost,89610.0
2004,Canada,Males,Zombie attack,Number of potential years of life lost,85413.0
2005,Canada,Males,Drowning,Number of potential years of life lost,87300.0
2006,Canada,Males,Drowning,Number of potential years of life lost,78560.0
2007,Canada,Males,Drowning,Number of potential years of life lost,81778.0
2008,Canada,Males,Drowning,Number of potential years of life lost,81653.0
2009,Canada,Males,Drowning,Number of potential years of life lost,87032.0
2000,Canada,Females,Automobile accident,Number of potential years of life lost,49002.0
2001,Canada,Females,Unintentional injuries,Number of potential years of life lost,46057.0
2002,Canada,Females,Unintentional injuries,Number of potential years of life lost,51486.0
2003,Canada,Females,Automobile accident,Number of potential years of life lost,47253.0
2004,Canada,Females,Unintentional injuries,Number of potential years of life lost,44461.0
2005,Canada,Females,Unintentional injuries,Number of potential years of life lost,49545.0
2006,Canada,Females,Automobile accident,Number of potential years of life lost,49780.0
2007,Canada,Females,Unintentional injuries,Number of potential years of life lost,49834.0
2008,Canada,Females,Unintentional injuries,Number of potential years of life lost,49104.0
2009,Canada,Females,Automobile accident,Number of potential years of life lost,45492.0
2000,Canada,Females,Drowning,Number of potential years of life lost,25965.0
2001,Canada,Females,Drowning,Number of potential years of life lost,25303.0
2002,Canada,Females,Drowning,Number of potential years of life lost,25625.0
2003,Canada,Females,Drowning,Number of potential years of life lost,26478.0
2004,Canada,Females,Drowning,Number of potential years of life lost,26305.0
2005,Canada,Females,Drowning,Number of potential years of life lost,27405.0
2006,Canada,Females,Drowning,Number of potential years of life lost,23913.0
2007,Canada,Females,Drowning,Number of potential years of life lost,26530.0
2008,Canada,Females,Drowning,Number of potential years of life lost,27628.0
2009,Canada,Females,Zombie attack,Number of potential years of life lost,27560.0
2000,Newfoundland and Labrador,Both sexes,Stroke,Number of potential years of life lost,4191.0
2001,Newfoundland and Labrador,Both sexes,Unintentional injuries,Number of potential years of life lost,2842.0
2002,Newfoundland and Labrador,Both sexes,Automobile accident,Number of potential years of life lost,2979.0
2003,Newfoundland and Labrador,Both sexes,Unintentional injuries,Number of potential years of life lost,2845.0
2004,Newfoundland and Labrador,Both sexes,Unintentional injuries,Number of potential years of life lost,2608.0
2005,Newfoundland and Labrador,Both sexes,Automobile accident,Number of potential years of life lost,2800.0
2006,Newfoundland and Labrador,Both sexes,Unintentional injuries,Number of potential years of life lost,2820.0
2007,Newfoundland and Labrador,Both sexes,Unintentional injuries,Number of potential years of life lost,2363.0
2008,Newfoundland and Labrador,Both sexes,Automobile accident,Number of potential years of life lost,3379.0
2009,Newfoundland and Labrador,Both sexes,Unintentional injuries,Number of potential years of life lost,2615.0
2000,Newfoundland and Labrador,Both sexes,Drowning,Number of potential years of life lost,1703.0
2001,Newfoundland and Labrador,Both sexes,Drowning,Number of potential years of life lost,875.0
2002,Newfoundland and Labrador,Both sexes,Drowning,Number of potential years of life lost,1195.0
2003,Newfoundland and Labrador,Both sexes,Drowning,Number of potential years of life lost,1633.0
2004,Newfoundland and Labrador,Both sexes,Drowning,Number of potential years of life lost,1750.0
2005,Newfoundland and Labrador,Both sexes,Drowning,Number of potential years of life lost,1865.0
2006,Newfoundland and Labrador,Both sexes,Drowning,Number of potential years of life lost,1545.0
2007,Newfoundland and Labrador,Both sexes,Drowning,Number of potential years of life lost,1620.0
2008,Newfoundland and Labrador,Both sexes,Drowning,Number of potential years of life lost,1528.0
2009,Newfoundland and Labrador,Both sexes,Drowning,Number of potential years of life lost,1455.0
2000,Newfoundland and Labrador,Males,Stroke,Number of potential years of life lost,3255.0
2001,Newfoundland and Labrador,Males,Automobile accident,Number of potential years of life lost,2142.0
2002,Newfoundland and Labrador,Males,Unintentional injuries,Number of potential years of life lost,2133.0
2003,Newfoundland and Labrador,Males,Unintentional injuries,Number of potential years of life lost,2388.0
2004,Newfoundland and Labrador,Males,Automobile accident,Number of potential years of life lost,2230.0
2005,Newfoundland and Labrador,Males,Unintentional injuries,Number of potential years of life lost,2110.0
2006,Newfoundland and Labrador,Males,Unintentional injuries,Number of potential years of life lost,2063.0
2007,Newfoundland and Labrador,Males,Automobile accident,Number of potential years of life lost,1863.0
2008,Newfoundland and Labrador,Males,Unintentional injuries,Number of potential years of life lost,2388.0
2009,Newfoundland and Labrador,Males,Unintentional injuries,Number of potential years of life lost,2055.0
2000,Newfoundland and Labrador,Males,Drowning,Number of potential years of life lost,1423.0
2001,Newfoundland and Labrador,Males,Drowning,Number of potential years of life lost,850.0
2002,Newfoundland and Labrador,Males,Drowning,Number of potential years of life lost,975.0
2003,Newfoundland and Labrador,Males,Drowning,Number of potential years of life lost,1230.0
2004,Newfoundland and Labrador,Males,Zombie attack,Number of potential years of life lost,1345.0
2005,Newfoundland and Labrador,Males,Drowning,Number of potential years of life lost,1463.0
2006,Newfoundland and Labrador,Males,Drowning,Number of potential years of life lost,1360.0
2007,Newfoundland and Labrador,Males,Drowning,Number of potential years of life lost,1550.0
2008,Newfoundland and Labrador,Males,Drowning,Number of potential years of life lost,1300.0
2009,Newfoundland and Labrador,Males,Drowning,Number of potential years of life lost,1320.0
2000,Newfoundland and Labrador,Females,Automobile accident,Number of potential years of life lost,937.0
2001,Newfoundland and Labrador,Females,Stroke,Number of potential years of life lost,700.0
2002,Newfoundland and Labrador,Females,Unintentional injuries,Number of potential years of life lost,846.0
2003,Newfoundland and Labrador,Females,Automobile accident,Number of potential years of life lost,457.0
2004,Newfoundland and Labrador,Females,Unintentional injuries,Number of potential years of life lost,378.0
2005,Newfoundland and Labrador,Females,Unintentional injuries,Number of potential years of life lost,690.0
2006,Newfoundland and Labrador,Females,Automobile accident,Number of potential years of life lost,757.0
2007,Newfoundland and Labrador,Females,Unintentional injuries,Number of potential years of life lost,500.0
2008,Newfoundland and Labrador,Females,Unintentional injuries,Number of potential years of life lost,992.0
2009,Newfoundland and Labrador,Females,Automobile accident,Number of potential years of life lost,560.0
2000,Newfoundland and Labrador,Females,Drowning,Number of potential years of life lost,280.0
2001,Newfoundland and Labrador,Females,Drowning,Number of potential years of life lost,25.0
2002,Newfoundland and Labrador,Females,Drowning,Number of potential years of life lost,220.0
2003,Newfoundland and Labrador,Females,Drowning,Number of potential years of life lost,403.0
2004,Newfoundland and Labrador,Females,Drowning,Number of potential years of life lost,405.0
2005,Newfoundland and Labrador,Females,Drowning,Number of potential years of life lost,403.0
2006,Newfoundland and Labrador,Females,Drowning,Number of potential years of life lost,185.0
2007,Newfoundland and Labrador,Females,Drowning,Number of potential years of life lost,70.0
2008,Newfoundland and Labrador,Females,Drowning,Number of potential years of life lost,228.0
2009,Newfoundland and Labrador,Females,Zombie attack,Number of potential years of life lost,135.0
2000,Prince Edward Island,Both sexes,Unintentional injuries,Number of potential years of life lost,1008.0
2001,Prince Edward Island,Both sexes,Stroke,Number of potential years of life lost,1190.0
2002,Prince Edward Island,Both sexes,Automobile accident,Number of potential years of life lost,1243.0
2003,Prince Edward Island,Both sexes,Unintentional injuries,Number of potential years of life lost,1040.0
2004,Prince Edward Island,Both sexes,Unintentional injuries,Number of potential years of life lost,1303.0
2005,Prince Edward Island,Both sexes,Automobile accident,Number of potential years of life lost,688.0
2006,Prince Edward Island,Both sexes,Unintentional injuries,Number of potential years of life lost,1308.0
2007,Prince Edward Island,Both sexes,Unintentional injuries,Number of potential years of life lost,620.0
2008,Prince Edward Island,Both sexes,Automobile accident,Number of potential years of life lost,1033.0
2009,Prince Edward Island,Both sexes,Unintentional injuries,Number of potential years of life lost,795.0
2000,Prince Edward Island,Both sexes,Drowning,Number of potential years of life lost,455.0
2001,Prince Edward Island,Both sexes,Drowning,Number of potential years of life lost,328.0
2002,Prince Edward Island,Both sexes,Drowning,Number of potential years of life lost,433.0
2003,Prince Edward Island,Both sexes,Drowning,Number of potential years of life lost,425.0
2004,Prince Edward Island,Both sexes,Drowning,Number of potential years of life lost,235.0
2005,Prince Edward Island,Both sexes,Drowning,Number of potential years of life lost,513.0
2006,Prince Edward Island,Both sexes,Drowning,Number of potential years of life lost,175.0
2007,Prince Edward Island,Both sexes,Drowning,Number of potential years of life lost,425.0
2008,Prince Edward Island,Both sexes,Drowning,Number of potential years of life lost,253.0
2009,Prince Edward Island,Both sexes,Drowning,Number of potential years of life lost,438.0
2000,Prince Edward Island,Males,Unintentional injuries,Number of potential years of life lost,830.0
2001,Prince Edward Island,Males,Automobile accident,Number of potential years of life lost,960.0
2002,Prince Edward Island,Males,Stroke,Number of potential years of life lost,1085.0
2003,Prince Edward Island,Males,Unintentional injuries,Number of potential years of life lost,938.0
2004,Prince Edward Island,Males,Automobile accident,Number of potential years of life lost,900.0
2005,Prince Edward Island,Males,Unintentional injuries,Number of potential years of life lost,480.0
2006,Prince Edward Island,Males,Unintentional injuries,Number of potential years of life lost,715.0
2007,Prince Edward Island,Males,Automobile accident,Number of potential years of life lost,448.0
2008,Prince Edward Island,Males,Unintentional injuries,Number of potential years of life lost,830.0
2009,Prince Edward Island,Males,Unintentional injuries,Number of potential years of life lost,698.0
2000,Prince Edward Island,Males,Drowning,Number of potential years of life lost,353.0
2001,Prince Edward Island,Males,Drowning,Number of potential years of life lost,325.0
2002,Prince Edward Island,Males,Drowning,Number of potential years of life lost,323.0
